Table S1. Isolates and genomes used in this study.											
											
Identifier	Isolate name	Country of isolation	Date of isolation	Phylogenetic group	Sequence typea	Clonal complexb	Isolation source	Additional infection/isolation information	Population 	Additional infection/isolation information	NCBI Reference
4480	9368-EC-USA-CBL	USA	2017-01-11	B2	919		Broiler chicken	post mortem	Infection 		This study
4481	9369-EC-USA-CBL	USA	2017-01-11	B2	919		Broiler chicken	post mortem	Infection 		This study
4483	9371-EC-USA-CBL	USA	2017-01-11	B2	919		Broiler chicken	post mortem	Infection 		This study
4484	9372-EC-USA-CBL	USA	2017-01-11	B2	919		Broiler chicken	post mortem	Infection 		This study
4486	9374-EC-USA-CBL	USA	2017-01-11	B2	919		Broiler chicken	post mortem	Infection 		This study
4487	9375-EC-USA-CBL	USA	2017-01-11	B2	919		Broiler chicken	post mortem	Infection 		This study
4488	9376-EC-USA-CBL	USA	2017-01-11	B2	919		Broiler chicken	post mortem	Infection 		This study
4489	9377-EC-UK-PM	UK	2017-01-11	B2	95	ST95 Cplx	Broiler chicken	post mortem	Infection 		This study
4572	8624	UK	2016-10-13	ST117	4674		Broiler chicken	Liver;peritonitis	Infection 		This study
4573	8625	UK	2016-10-13	E	57	ST350 Cplx	Broiler chicken	Liver;peritonitis	Infection 		This study
4574	8626	UK	2016-10-13	E	57	ST350 Cplx	Broiler chicken	Bone Marrow;peritonitis	Infection 		This study
4575	8627	UK	2016-10-13	E			Broiler chicken	Bone Marrow;peritonitis	Infection 		This study
4577	8628	UK	2016-10-13	B2			Broiler chicken	Bone Marrow;peritonitis	Infection 		This study
4578	8629	UK	2016-10-13	ST117	117	ST117 CC	Broiler chicken	Spleen ;peritonitis	Infection 		This study
4579	8630	UK	2016-10-13	ST117	117	ST117 CC	Broiler chicken	Bone Marrow;peritonitis	Infection 		This study
6556	AV108			B2	95	ST95 Cplx		Liver - Coli Speticaemia	Infection 		This study
6557	AV109			B2	1618		Broiler chicken	Encephalomyelitis	Infection 		This study
6558	AV110			B1	974		Broiler chicken	Encephalomyelitis	Infection 		This study
6559	AV111			B2	1618			Liver - Coli Speticaemia	Infection 		This study
6560	AV112			A	540		Environment - boot swab		Asymptomatic carriage		This study
6561	AV113			B2	1257		Broiler chicken		Asymptomatic carriage		This study
6562	AV114			B2			Broiler chicken		Asymptomatic carriage		This study
6563	AV115			B2			Broiler chicken		Asymptomatic carriage		This study
6564	AV116			B1	23	ST23 Cplx	Broiler chicken		Asymptomatic carriage		This study
6565	AV117			ST117	117	ST117 CC	Broiler chicken	Peritonitis	Infection 		This study
6566	AV118			B2	95	ST95 Cplx	Broiler chicken	Peritonitis	Infection 		This study
6567	AV119			B1	602	ST446 Cplx	Broiler chicken	Peritonitis	Infection 		This study
6568	AV120			B2	429		Chick box liner 				This study
6569	AV121			B1	442		Boot drag				This study
6570	AV122			ST117	95	ST95 Cplx		Liver - colibacillosis	Infection 		This study
6571	AV123			ST117	1163		Boot drag				This study
