Name,animal,pathogenicity
4060_AV_b2_69_fasta,1,0
3744_AV102_fasta,1,0
4475_9363_EC_USA_CBL_fasta,1,0
9010_Nordic_E91_fasta,1,0
4063_AV_b2_97_fasta,1,0
6998_3328_fasta,1,0
7171_6429_fasta,1,0
7016_4833_fasta,1,0
7164_6422_fasta,1,0
7131_6113_fasta,1,0
8733_MOD1_EC6548_fasta,1,0
3747_AV105_fasta,1,0
8680_A_T_SAP708_fasta,1,0
9444_6213_fasta,1,0
9003_Nordic_E60_fasta,1,0
7144_6382_fasta,1,0
9012_Nordic_E98_fasta,1,0
7003_3366_fasta,1,0
1594_SS_385_fasta,1,0
7151_6389_fasta,1,0
7091_3370_2_fasta,1,0
3759_AV20_fasta,1,0
7169_6427_fasta,1,0
9000_Nordic_E50_fasta,1,0
8731_MOD1_EC6341_fasta,1,0
8728_MOD1_EC5996_fasta,1,0
7149_6387_fasta,1,0
7104_3414_3_fasta,1,0
3741_AV099_fasta,1,0
1600_SS_393_fasta,1,0
8996_Nordic_E45_fasta,1,0
8661_EC5_fasta,1,0
9515_6776_fasta,1,0
6993_3282_fasta,1,0
6584_AV136_fasta,1,0
8714_E94_fasta,1,0
4579_8630_fasta,1,0
4479_9367_EC_USA_CBL_fasta,1,0
7128_6110_fasta,1,0
3773_AV34_fasta,1,0
9002_Nordic_E59_fasta,1,0
8713_E91_fasta,1,0
9535_Nordic_E51_fasta,1,0
6557_AV109_fasta,1,0
7146_6384_fasta,1,0
7133_6115_fasta,1,0
7166_6424_fasta,1,0
3780_AV41_fasta,1,0
3800_AV61_fasta,1,0
1624_APEC_O78_fasta,1,0
9512_6773_fasta,1,0
6994_3287_fasta,1,0
8712_E90_fasta,1,0
8990_Nordic_E32_fasta,1,0
1595_SS_386_fasta,1,0
3668_6344_fasta,1,0
8991_Nordic_E35_fasta,1,0
8987_Nordic_E27_fasta,1,0
7134_6116_fasta,1,0
7158_6416_fasta,1,0
7022_5082_fasta,1,0
7000_3354_fasta,1,0
9509_6770_fasta,1,0
7009_4696_fasta,1,0
4481_9369_EC_USA_CBL_fasta,1,0
3742_AV100_fasta,1,0
3774_AV35_fasta,1,0
3752_AV13_fasta,1,0
7030_3371_1_fasta,1,0
8711_E110_fasta,1,0
9480_7468_fasta,1,0
1593_SS_384_fasta,1,0
9529_7151_fasta,1,0
3667_6265_fasta,1,0
7001_3359_fasta,1,0
1611_SS_408_fasta,1,0
8788_Nordic_E18_fasta,1,0
9532_Nordic_E38_fasta,1,0
9469_7449_fasta,1,0
9561_FSIS11704223_fasta,1,0
6997_3315_fasta,1,0
9009_Nordic_E86_fasta,1,0
1607_SS_402_fasta,1,0
9533_Nordic_E41_fasta,1,0
1596_SS_388_fasta,1,0
7102_3414_1_fasta,1,0
7100_3405_fasta,1,0
9452_7175_fasta,1,0
4489_9377_EC_UK_PM_fasta,1,0
7157_6415_fasta,1,0
3670_8805_fasta,1,0
1605_SS_399_fasta,1,0
8986_Nordic_E26_fasta,1,0
9001_Nordic_E57_fasta,1,0
9015_Nordic_E109_fasta,1,0
6989_2896_fasta,1,0
9478_7461_fasta,1,1
8764_VRES0553_fasta,1,1
9492_5154_fasta,1,1
1468_SS_223_fasta,1,1
7035_3385_1_fasta,1,1
7087_3269_fasta,1,1
8696_AZ_TG73367_fasta,1,1
9506_6723_fasta,1,1
9466_7446_fasta,1,1
1555_SS_320_fasta,1,1
3796_AV57_fasta,1,1
9562_FSIS1703765_fasta,1,1
9496_5980_fasta,1,1
3818_AV79_fasta,1,1
8745_VREC0633_fasta,1,1
6561_AV113_fasta,1,1
6562_AV114_fasta,1,1
8671_16009908_S25_L001_R1_001_fasta,1,1
3797_AV58_fasta,1,1
8682_AZ_TG77110_fasta,1,1
3817_AV78_fasta,1,1
3811_AV72_fasta,1,1
8653_53C_fasta,1,1
9468_7448_fasta,1,1
1572_SS_349_fasta,1,1
1586_SS_375_fasta,1,1
8694_AZ_TG73295_fasta,1,1
8760_VRES0549_fasta,1,1
1576_SS_358_fasta,1,1
8767_VRES0556_fasta,1,1
9490_4997_fasta,1,1
1568_SS_344_fasta,1,1
3820_AV81_fasta,1,1
1561_SS_333_fasta,1,1
3736_AV08_fasta,1,1
9518_6829_fasta,1,1
3730_AV02_fasta,1,1
8669_14M009386_fasta,1,1
1557_SS_328_fasta,1,1
3806_AV67_fasta,1,1
9579_NC_STEC53_fasta,1,1
9500_6183_fasta,1,1
9485_4437_fasta,1,1
8761_VRES0550_fasta,1,1
1565_SS_339_fasta,1,1
8769_VRES0576_fasta,1,1
1571_SS_347_fasta,1,1
3788_AV49_fasta,1,1
8751_VRES0527_fasta,1,1
1575_SS_356_fasta,1,1
1465_SS_220_fasta,1,1
1471_SS_226_fasta,1,1
8689_AZ_TG71391_fasta,1,1
8778_VRES0676_fasta,1,1
8777_VRES0674_fasta,1,1
8691_AZ_TG73155_fasta,1,1
8748_VRES0502_fasta,1,1
9505_6695_fasta,1,1
3781_AV42_fasta,1,1
1573_SS_350_fasta,1,1
7095_3398_fasta,1,1
8759_VRES0541_fasta,1,1
8750_VRES0524_fasta,1,1
9497_5995_fasta,1,1
9502_6185_fasta,1,1
8763_VRES0552_fasta,1,1
1475_SS_230_fasta,1,1
9577_NC_STEC29_fasta,1,1
3732_AV04_fasta,1,1
8765_VRES0554_fasta,1,1
1570_SS_346_fasta,1,1
1564_SS_338_fasta,1,1
1552_SS_307_fasta,1,1
8705_DRS016135_fasta,1,1
6564_AV116_fasta,1,1
3757_AV18_fasta,1,1
9504_6255_fasta,1,1
3729_AV01_fasta,1,1
8766_VRES0555_fasta,1,1
1574_SS_355_fasta,1,1
7019_4999_fasta,1,1
3751_AV12_fasta,1,1
3783_AV44_fasta,1,1
3803_AV64_fasta,1,1
3832_AV93_fasta,1,1
7088_3270_fasta,1,1
9495_5935_fasta,1,1
